tweetid,text,emotions
613677567619563520,Lots of ancient artefacts to enjoy @britishmuseum #amazingplace #toomuchforaquickvisit http://t.co/utnDOEiGXO,3.0
611844583224438784,Plus excellent prizes from the @britishmuseum http://t.co/soUo22G29A http://t.co/YrIWP415oR,3.0
615216447787270144,"Feliz cumpleaños,Rubens! Happy birthday,Rubens! @NationalGallery http://t.co/BeiJc5hNri http://t.co/UMRi93Y96C",3.0
610741907426267136,. @NationalGallery What message does oil sponsorship of the arts send to those ngotiating a climate deal in Paris this year #AsktheGallery,1.0
608624432752521216,I Love Museums http://t.co/LblvLtgxmR via @camunivmuseums @zoologymuseum @socltweet,3.0
613749482723930112,.@IanLaveryMP can you attend adjournment debate tomorrow #noprivatisation @NationalGallery #reinstatecandy @NGNotForSale @PCSCultureGroup,1.0
612371445197447168,"Excellent exhibition at @britishmuseum on Napoleonic era caricature/prints, well worth a look",3.0
615135547321905152,@britishmuseum we love the badge! Here she is visiting Peel Park in 1851 http://t.co/VONu7avCip,3.0
613782715545055232,This de Hooch 'Courtyard of a House in Delft' us quite simply my favorite painting in @NationalGallery Thanks for placing it center stage.,3.0
611971153238736896,A @heritagelottery grant helped us acquire 'Whistlejacket' in 1997. Learn more: http://t.... http://t.co/DrJOxGFsXp via @NationalGallery,3.0
614760652180189184,@britishmuseum It's amazing! You're always so up to date! The best museum in the world! Thanks!,3.0
614408417717919744,@FitzMuseum_UK Yum! 😀,3.0
613295669399396352,@britishmuseum Of course! Nothing more and nothing less than the eye of Horus! Greetings!,3.0
612239742361554944,@britishmuseum well deserved. Congrats!,3.0
614941836151521280,@britishmuseum loved the exhibition today! My mum especially loved it! X,3.0
612964814906884096,@MicroPasts @britishmuseum task 40821 of Foreign Weapons before starting my real job for the day - happy Monday! http://t.co/4tU8k7lgRi,3.0
613313648589586432,I got 10/10 in 'Can you guess the artwork?' http://t.co/jyDiunjQg3 #arthistorydegree #wellworthit @NationalGallery @Tate @NatGalleryAus,3.0
612273406797578240,A young friend has drawn us a great pic of @kettlesyard inside and out with his new @archiveshub pencil #CastleHill15 http://t.co/kAxZ2Vi2c8,3.0
610833467912400896,@ReclaimOurBard @pcs_union @NationalGallery : Culture? Funded by the P.R. budget? DO ME A FAVOUR. I wouldn't go there if you paid me.,2.0
610435626811424768,@nationalgallery #AskTheGallery When will you be re-instating Candy Udwin? Why should the arts be subject to private profit?,1.0
614448677562785792,Patients of Sharp Ward are enjoying historic views of the city thanks to @PlymouthMuseum http://t.co/TIx8wplLu9 http://t.co/x0H2a5lkHy,3.0
610481355110154240,"@Rossy__RORO 

It is also a privilege to have the great @NationalGallery in London it is truly wonderful #arttherapy",3.0
612308143163502592,@Aisling_Pash @schemaly @britishmuseum Are you encouraging them to violate men's privacy? Assault! This woman's advocating assault!,2.0
608374279328165888,Fantastic to be in London today speaking @ACEnterprises event. Met lovely people from @GH_Sudbury &amp; @CamUnivMuseums http://t.co/3uM1n3njPF,3.0
610751425589714944,#askthegallery What do you take more pride in: Hanging classic artwork or hanging your staff out to dry? @NationalGallery,1.0
613830951072829440,"Excited for discussions on the potential, practicalities &amp;challenges of museum archival research #museumarchive @britishmuseum event in July",3.0
611800299804692480,@Hellboy919 @AboutLondon @MadameTussauds @BateauxLondon @britishmuseum @Camdencoffee @ThamesRIBExp @thamesclippers @EmiratesAirLDN thank you,3.0
610741355082551296,Thanks to Lucy &amp; co. New Rhythms Through New Eyes going up in the Education studio @kettlesyard in prep for Saturday! http://t.co/DMWyOwiy23,3.0
614852295055028224,Wonderful book from trip to the @britishmuseum today. Such a fun way to improve on geography knowledge! #maps http://t.co/JYYzIcGp4U,3.0
611622400023744512,"In London @nationalgallery, a beautiful Vermeer #inarttours #masterpieces https://t.co/VukC9cOZkD",3.0
610762408307638272,.@NationalGallery ignores questions on sponsorship fees received from Shell. No surprises. #Artwash https://t.co/sTcbuC1dhz,2.0
614547679666917376,"@ATG_Editorial at the #SoFAA dinner listening to the wonderful main speaker, Tim Knox of @FitzMuseum_UK",3.0
614112070053830656,"Fantastic @johnmcdonnellMP standing up for workers @NationalGallery #noprivatisation while
@edvaizey sits on fence! http://t.co/QzBYpUAtQt",1.0
615210597374930944,Enjoyed a couple of hours in side the British Museum @britishmuseum lonelyplanet #summer #NotSoSunny… https://t.co/BHGoPi3c8T,3.0
614734202643292160,not long till the blind spots exhibition! #jacksonpollock @tateliverpool 😍,3.0
613744184495894528,"@britishmuseum you have incredibly helpful staff here, from security team to support staff in rooms and galleries! #greatservice",3.0
611621564761669632,Amazing job team @britishmuseum - @periscopeco 2 in the bag. Massive thanks to @thehistoryguy. Happy #Waterloo200 peeps!,3.0
611950193043472384,"6 years ago today, the greatest museum opened: the #acropolismuseum. @britishmuseum #givethemback #elginmarbles #greece",3.0
612990084099534848,Had an excellent lunchtime visit to @britishmuseum with @theresecoen this afternoon for the #DefiningBeauty exhibition.,3.0
614057655011819520,The perfect location to wear #VanessaGounden ... The @britishmuseum's Great Court #WearableART #Artivism http://t.co/RAAvlb1AcW,3.0
614307958273515520,@pennyprileszky @stockleyacademy @NationalGallery whole trip free!,3.0
614384123386441728,Praise for @tateliverpool  https://t.co/QlriENJBiV,3.0
615252768966733824,"...and @BritishMuseum have the Sutton Hoo Anglo-Saxon hoard, including the iconic helmet. Striking up close. http://t.co/gipigjfNAy",3.0
611806642863124480,Looking forward to seeing the Australia exhibition at @britishmuseum soon. My take on the Ancient Greece exhibit: http://t.co/ef2NOvoJJY,3.0
614468643380965376,Work experience was great @FitzMuseum_UK http://t.co/qRbr8dBsGr,3.0
614477090835034112,@RAMMuseum Thanks to Tom for helping me study Bronze Age metalwork this week for my #phd. Read about my visit here: http://t.co/O4kjQaxQd9,3.0
613684890396135424,"@WMNNews @Tate_StIves haven't seen the garden yet but will soon. I'm a fan, that's what I am!!
Rhyme of the day http://t.co/NchNHWoJJA",3.0
614389336449130496,Visitors like 3D weather. Millionth @RAMMuseum visitor today! http://t.co/nmJMxf2XFw,3.0
612771924360437760,The most erotic painting in The @NationalGallery  No! not the Bronzino!-- but--'Leda &amp; the Swan' after Michealangleo http://t.co/rOLeopUrOJ,3.0
612216422987640832,@Tate_StIves hear hear. Super interesting,3.0
612636766303072256,"@BBC_Culture @PlymouthMuseum Oh dear, why not Dame Laura Knight? Surely 'The Beach' should be in this list!",4.0
611667572602368000,"Ooh, this looks good - Jackson Pollock exhibition opens @tateliverpool 30th June http://t.co/74WzAzjotq http://t.co/1CQzS3x3Kl",3.0
611901875596754944,Nothing to do with football this one... its just a tiny bit exciting @tateliverpool #Pollock http://t.co/TUmZb6F7Gp,3.0
608559657293115392,#ILoveMuseums as they provide fantastic opportunities to #ExploreYourSubject as a prospective applicant for #university! @CamUnivMuseums,3.0
613303739563249664,Fantastic performance by Kerry Yong after @beatricegibson film as part of @FL_FLAMIN evnt on Sat @_theWhitechapel http://t.co/IDkceOIoB6,3.0
614123407098126336,"I'll be talking about The Greeks in Southern Italy at @britishmuseum tomorrow, Rm 73, 1.15pm. Happy memories of #Gravina #archaeology",3.0
611572147480363008,One of my favourite artefacts from one of my favourite museums @MAACambridge ! https://t.co/vsc3l73QuR,3.0
612319419121954816,"HAPPY BIRTHDAY TO MY MAIN MAN (sorry @DanDiPiero) 400 YEARS YOUNG TODAY
(in his great selfie from @NationalGallery) ! http://t.co/zL1yMv4Izb",3.0
614370619652722688,#FF Happy weekend! @CommunityArchae @britishmuseum @PyBossa @chancock_na @joshuathogue,3.0
610753748298764288,@NationalGallery Lovely choice!,3.0
615502503174668288,"Jackson pollock and Glenn Ligon opening tomorrow at @tateliverpool great combo, both beautiful #NotToBeMissed",3.0
612232002671091712,@emmalbowkett @_TheWhitechapel Its Best thing about photography I guess :),3.0
610830545250045952,@kdastgirkhan @nationalgallery hmmmmmmm nice,3.0
611481214730522624,Good to see you yesterday &amp; all the work in progress @flocktognews @wordpressdotcom The @ThelmaHulbert is coming together,3.0
615082324934438912,Looking forward to the #GlennLigon talk at @tateliverpool this afternoon :-),3.0
613683861889941504,Well worth catching before it ends early July #DefiningBeauty @britishmuseum http://t.co/qxIn5W7k9a,3.0
611565709781544960,"Tomorrow I'll have a London #art day, starting @TPGallery , then @britishmuseum and afterwards the @royalacademy . A strong dose of art! :-)",3.0
611849119590707200,"@MuseeLouvre @museiincomune @leCMN @GoldUnveiled @britishmuseum @MarDixon @Museo_MADRE Magnificent, would love to learn more about this hand",3.0
613742828288655360,"""A great modern British institution"" - great piece from the @guardian on the fantastic @tateliverpool : http://t.co/wm6Es7gk69",3.0
612008913978978304,@britishmuseum Excelente colección!,3.0
612591618122731520,@HistoryGems @britishmuseum gives me the shivers every time I see this #aweinspiring,3.0
612626150121172992,"A peachy morning at the excellent ""Defining Beauty"" exhibition @britishmuseum",3.0
612591455551553536,@_TheWhitechapel One of my 5 favourite places for contemporary art ! Great discovery today ! #artinlondon #gallery http://t.co/zAOImhy7JG,3.0
613049567039385600,Buzzing on WINGIT #LDN RT @PeytonandByrne It's wine o'clock at the National Cafe with oliverpeyton @nationalgallery tonight - half price...,3.0
611466186677723136,Great night in Cambridge with the Zugubal dancers from the Torres Strait! @MAACambridge http://t.co/HidjzmWvgA,3.0
611798284663959552,@_TheRowanTree_ Thank you. Have a lovely weekend x @sewingcircus @SewBloominHappy @tateliverpool @FACT_Liverpool @LarksVintage,3.0
613365589550202880,@AdamKoszary @BW_126 Liking @RAMMuseum 's use of Instagram to show behind the scenes &amp; things visitors might miss on a visit. #InstaMuseum,3.0
614328360584540160,Off for a meet @RAMMuseum about some really exciting stuff for #exeter grey day will be #beautiful #breakfastofkings http://t.co/lRwKbGxOLk,3.0
608561308468846592,@CamUnivMuseums @ilovemuseum I love Museums because they remind us that others before found a way to survive and also Periwigs  are great:),3.0
612348120060555264,#Cambridge will not be the same for my next visits but I look forward to the results! @kettlesyard @rorieborealis  https://t.co/0spfnIyHiK,3.0
611215486253166592,Hidden watercolour treasures go on display at @FitzMuseum_UK - http://t.co/Yz5DTi4jGU http://t.co/4jG25VK2bi,3.0
612946639595171840,@britishmuseum turquoise eyes!!!,0.0
612197303911346176,saw Indigenous Australia exhibition @britishmuseum superbly presented but with harrowing vision of colonisation http://t.co/oLM2iQRLvh,3.0
614492521226440704,Thank you for the #FF @BHandL @GTroopRHA @sinonevero @suzilove @ThelmaHulbert @LansonLoyalty @AntiqueMag @BHL_valuer @trueyankees,3.0
612165027387297792,@britishmuseum @JSuhermanBailey this seems quite clear in the copy. Unfair to take that one word &amp; apply to entire thing.,1.0
611831070850461696,"#IndigenousAustralia at @britishmuseum is beautiful, enlightening and thought-provoking. Well worth a visit!",3.0
612637377228578816,The Place's subtle dance piece performed with AgeUK @britishmuseum Defining Beauty exhibition didn't really work; bring back the bacchantes?,4.0
611625177944862720,Ooo we bet this was good @britishmuseum! #presentfilms https://t.co/iqVGoqG1Wh,3.0
615500010436849664,Jackson Pollock press view @tateliverpool and some lovely themed spattered cupcakes http://t.co/lr567edB1H,3.0
614896239050670080,"Books, films, Greeks, coffee, curry. Perfect Saturday with @ml42. @britishmuseum @Foyles @FoppCovent @monmouthcoffee @Dishoom @CurzonBbury",3.0
614467534230843392,"@RathfernPS Had a brilliant(but tiring)trip to the @britishmuseum with Nebula class today,very well behaved great ambassadors for the school",3.0
613078091397771264,@69quietgirl @britishmuseum Excellent point. Just add the lack of decent medical services and suspect water supplies and the present is fine,2.0
615173059998298112,Lovely afternoon at the @britishmuseum - amazing! Thank you for keeping our museums free.,3.0
612538487909273600,@kettlesyard  we miss you too!,3.0
611065127702409216,"@tateliverpool @richard51185877 What a great idea THANK YOU 
Liverpool such a great City with amazing History which I study",3.0
612308035428577280,@britishmuseum @TripAdvisor Well deserved. Congratulations.,3.0
615099688270888960,Spending my Sunday morning roaming the Indigenous Australia exhibition :) (at @BritishMuseum) https://t.co/Ui05Xf3c5D,3.0
611915424339480576,Hadrian! We're off to visit his wall next! @britishmuseum w/ @bquentin3 &amp; zada_beda thanks to… https://t.co/nixI2mU9ch,3.0
613706842166947840,“@NationalGallery:  http://t.co/AQDBwifeZG http://t.co/RA5fZQNdUP” Such a good painting,3.0
614141652320538624,@HackneyAbbott @NationalGallery @johnmcdonnellMP @pcs_union thanks Diane your presence &amp; contribution very much appreciated by strikers ;-),3.0
614716813138599936,"So me and @foxvertebrae went to the Defining Beauty exhibition at the @britishmuseum yesterday, and I thought I'd tweet some musings.",3.0
611606028929638400,@NealSpencer_BM @britishmuseum Ahah! The place where I spent my Saturdays and Sundays out of my Wokhingham school and made cards....,3.0
614473566877257728,Strikers at @Shell -sponsored @NationalGallery protest against #privatisation #kayaktivists #ShellNo @revbillytalen http://t.co/kLkbccLnFo,1.0
614904459030884352,@britishmuseum Gorgeous,3.0
613738446910304256,"Summer of art happening! Audrey Hepburn @NPG, Barbara Hepworth @TateBritain, Summer exhibition @RAA and Pollock @TateLiverpool! Happy days!",3.0
611843376602681344,@britishmuseum Thank You :-),3.0
612025635754651648,Completed my week's dose of Ancient Greece 2night at @britishmuseum #DefiningBeauty expo. Quite a spectacle and not busy. Worth seeing.,3.0
611585778490179584,@BM_AG #privateview @NationalGallery @HelenHillyard @artfund opening of the new Baroque galleries - amazing http://t.co/nfIDolC0fT,3.0
613332395564077056,"Have you heard about Soundscapes? Hint: it's about paintings, DJs, museums, the @NationalGallery, &amp; it's pretty cool. http://t.co/KQWgdXn9LY",3.0
610759577311801344,or here https://t.co/R2tO79Easn .An in house solution proposed to meet flexibility needs. Come on @NationalGallery - it's time to TALK.,2.0
613728453196582912,Looking forward to Age Friendly Museums Network tomorrow @britishmuseum presenting on @StrokeAssocLDN &amp; @HornimanMuseum partnership,3.0
614910534681513984,"@JessHarri thank you for the RT, following you back, great to see the panelists in action at #DefeatingDepression @RAMMuseum",3.0
611438321802309632,Reading @SStraine on mega-Pollock @tateliverpool in the @stylistmagazine certainly perked up the morning commute! http://t.co/6f9hTVkKQi,3.0
614699052458975232,This is one of the rooms @Tate_StIves Ravine Neuenschwander now well worth a visit u become part of it too? http://t.co/nXK7jfvFyp,3.0
614113009837981696,Fantastic introduction to the re-displayed Baroque galleries @BM_AG today at pre-1900 European Paintings SSN Study Day with @NationalGallery,3.0
610357807385341952,@FitzMuseum_UK I would love to know the source,3.0
611916673252134912,@FundforTeachers can't express gratitude 4 this visit inside our Art History 101 textbk! W/ @bquentin3 @britishmuseum http://t.co/P6Ev1q1J5O,3.0
614335190329114624,@FourFeetFilms Enjoy! When Van Gogh lived here for a short while he wrote about his walks over the Thames to work and @NationalGallery.,3.0
612381005349978112,#london @visitlondon @NationalGallery #awesome http://t.co/z4wYeXUBuI,3.0
612186717181898752,@Godchecker @britishmuseum much better.,3.0
613283072121765888,"Very funny fast talking #MC @theiAwards - a great night, beautiful venue @NationalGallery",3.0
612616882252853248,Cannot believe 3 years in London &amp; it's my first visit to the British Museum! It's massive! @britishmuseum http://t.co/Qf9F0qTNkj,3.0
610746881472364544,@kettlesyard YES! And we're very excited about completing our epic Tippett cycle with you tomorrow evening too!,3.0
614875623648043008,"@city_calm you have a new follower, thank you for favouriting my RT. Really interesting panel #DefeatingDepression @RAMMuseum",3.0
614117200652333056,"@HackneyAbbott @BarnetTradesCcl @NationalGallery @johnmcdonnellMP @pcs_union oh you won't get Ed to intervene, he hasn't with library cuts.",2.0
614056577428004864,@FL_FLAMIN @nia_loves_films @_TheWhitechapel fantastic - thank you!,3.0
615253181354901504,"@_TheWhitechapel ""Toward Parliament square at dusk"". I hope you all enjoy this painting. http://t.co/cjY46idGyJ http://t.co/ZKTDELAPkT",3.0
614046139084636160,The Dartmouth Museum Daily is out! http://t.co/DRFJjmT28J Stories via @FitzMuseum_UK @MuseumsAtNight @HilaryMcGowan,3.0
614830915282411520,May have bought more stuff from the Mexican bit of the @britishmuseum :D http://t.co/XmvUJGIigx,3.0
614791120086794240,@chemingineer @aaroo4 Saw it @NationalGallery (London) last year and looked for signs of damage but saw none. Conservationists deserve merit,3.0
610222579354333184,Go this week! @CreativeDebuts @FunkyArtGallery @GlobalArtAgency @ShoreditchHype @Brick_Lane_Art @_TheWhitechapel http://t.co/93FcNMiTUU,3.0
614128641329491968,@Smerchant84 RT @lisamaythomas: The Touch Diaries trailer! https://t.co/TG6HPOQ4IK premiere 9th July @ICIABath @BathDance @theatrebristol,3.0
610392656338882560,#ChristopherWilliams The Production Line of Happiness @_TheWhitechapel on until Sunday. Dynamic &amp; refreshing http://t.co/fPla90shml,3.0
610851702519021568,@ExeterLiving @MooseAllain @ThelmaHulbert Fab. :),3.0
613433362506715136,Dr Sculthorpe provides insightful talk to @artfund members about #IndigenousAustralia exhibition @britishmuseum http://t.co/J51wWzXSvf,3.0
613726642758918144,The @RAMMuseum in Exeter is definitely worth a visit. They have a #Samurai! #ILoveMuseums @brinton83 @crazybird001  https://t.co/1OAGRLHmak,3.0
612400187613532160,Visited the @FitzMuseum_UK today! Inspiration is everywhere :) http://t.co/xq3U4bvz3Y,3.0
611115939082424320,F is for Funky Fiddle Leaf but also for the fabulous @FitzwilliamColl and @FitzMuseum_UK http://t.co/JUwM1VV89t,3.0
613802783460982784,"Brilliant Day, Loved drinking too much coffee with the lovely @lisajewelluk @NationalGallery",3.0
611657179452583936,"Find great content producers on #Periscope like @britishmuseum
http://t.co/9FJeQAZvXQ

@periscopeco @periscopetv http://t.co/PTx5tkaWvZ",3.0
614388485852655616,"Congrats @samcurtisart, v exciting. Looking forward to the show. Starts 15th July - not to miss! @_TheWhitechapel",3.0
611644801042280448,@kettlesyard - sparkling strings of  light adding to the ambience at Kettles Yard this sunny afternoon http://t.co/dVm0zpXXly,3.0
611836592379011072,@NationalGallery Great 2 c #Rembrandt's back from loan in Rooms 23 &amp; 24 Missed them so much!,3.0
615519865412157440,#Pollock review – this is art as nervous breakdown... and it's majestic http://t.co/2VuJL7t9BC via @guardian Until 18 October @tateliverpool,3.0
613974337570406400,Great visit to the @britishmuseum yesterday. Expect photos.......,3.0
610498030576529408,Great day filming #Roman #gems @FitzMuseum_UK with @gassingabout. Watch this space for the finished video! http://t.co/nvf8kEVkJj,3.0
613337192358916096,"@Tate @tateliverpool I will be hammering the door down to see that exhibition, fantastic opportunity to see a well curated exhibition",3.0
613753743214006272,Looking forward to joining this evening's #DefeatingDepression event at @RAMMuseum - hosted by @UoE_MedHist,3.0
615470099022127104,.@NationalGallery loved the Drawing in Silver and Gold exhibit. Fascinating process and breadth of use thru centuries of #art!,3.0
613279740510773248,So pleased this was selected and will be at @ThelmaHulbert Gallery in July/August #EvolverPrize2015 http://t.co/yA60vLNPTk,3.0
614548877186854912,"Saw #definingbeauty at @britishmuseum today and it is just glorious. Seriously, the arse on that exhibition. Wow.",3.0
610883786411245568,Thank you Caroline Campbell for this aft @NationalGallery.I'm so glad I came to #London to take you to @SanFrancisco http://t.co/J7WDpKSJXL,3.0
615494588942426112,"BritishMuseum: RT @Alias_Ailsa: Loved #ancientlives exhibition @britishmuseum! Brilliant use of technology, amazin… http://t.co/LR7CW55YOy",3.0
613819077149237248,@britishmuseum for a wonderful summer party http://t.co/p9CCVNcQE8,3.0
613311564553302016,@britishmuseum a death mask??,0.0
610576888575205376,Solidarity @greenpeace #kayaktivists We r fighting @Shell &amp; @NationalGallery who want 2 privatise 400 workers here #ShellNo #noprivatisation,1.0
613428849880244224,Really loved #DefiningBeauty @britishmuseum. Outstanding exhibit+ worth it for last 2 sculptures alone. Closes 5 July http://t.co/F3GZWdGSdX,3.0
611796541204860928,@PamHartshorne @britishmuseum  Sounds wonderful😊- enjoy,3.0
611532415232831488,Really enjoying @britishmuseum tweets. Well worth a follow.,3.0
614079256562372608,Just finished deinstalling @kettlesyard Now closing for 2 years redevelopment. Look forward to seeing new space,3.0
613365356049121280,Ace dragon tiles at the @britishmuseum http://t.co/S6BLYPW7dR,3.0
614687866409586688,Thanks @britishmuseum for preserving #Palmyre http://t.co/kQPEpqSUU6,3.0
613275711906967552,@NationalGallery Welcome aboard!,3.0
610790838235451392,@FitzMuseum_UK Rather lovely promotional animation: https://t.co/IF96Cy4zy3,3.0
611624091741782016,Congratulations to our @artfund @NationalGallery trainee @HelenHillyard on a fantastic #Baroque redisplay @BM_AG! http://t.co/RXVTc7bXhG,3.0
614485130078494720,Glad Day #LoveWins (from @britishmuseum) http://t.co/Q4XSwL0esu http://t.co/voivfqwJYD,3.0
611614579844587520,@britishmuseum Loving it! Periscope is broadcasting sideways here though (might be just my browser)...,3.0
613352259611676672,@britishmuseum Superbe Musée http://t.co/4I8idPlBFt,3.0
611093719736037376,@kettlesyard @IrregularCircle love this place :-),3.0
614708533179904000,USA Armchair Travelers See The Impressionists of National Gallery July 14th! http://t.co/D5WfIOCZPb @NationalGallery http://t.co/hl4L0GJ6wq,3.0
611722802534707200,@LucyWheeler16 @kettlesyard Thank YOU for a lovely evening!,3.0
614465995118407680,@britishmuseum thanks!,3.0
614794915822723072,@TheFrameBlog @NationalGallery She's a beauty. Beauty is so hard to come by these days.,3.0
610832703710187520,"We are over the moon to present our new website for @ThelmaHulbert - our local, award winning art gallery http://t.co/4VglZP9TbB #Honiton",3.0
612673514357825536,Fantastic closing exhibition @kettlesyard providing inspiration in #drawing and #sculpture #New#Rhythms http://t.co/OU7l7SaRt0,3.0
611820168994521088,Great Terry Frost show opened @LeedsArtGallery last night. Congrats to @CuratorSarah and @Tate_StIves http://t.co/5VfGYYRvCL,3.0
614556693679206400,Fascinating talk @CVHISTORYFEST on Goya's portraits by @XBray  - looking forward to seeing your Goya exhibition @NationalGallery in Autumn!,3.0
611885201090838528,@leCMN @GoldUnveiled @museiincomune @tokikodasa @MuseeLouvre @museecarnavalet @MuseumWeek @Museo_MADRE @britishmuseum so interesting!,3.0
613749228184162304,Gr8 read @guardian http://t.co/fP34V5a0zB on @tateliverpool Gr8 package Jackson Pollock + @hotelindigo @TravelBird_UK http://t.co/yclQU5e2Pp,3.0
610467277859897344,El Diario de la ProfeCaro is out! http://t.co/OemlHbpDjV Stories via @NationalGallery @digitaltext @PortalGeekEP,3.0
610492515758833664,Monday morning #fieldtrip pt 2: thanks to Mark Godfrey and @_TheWhitechapel. Must-see exhibition that ends Sunday. http://t.co/OeGU898UGF,3.0
612763483654918144,"Gold brooch of 'Helios' or sun-god, from the workshop of Castellani, Italy, c.1860s @britishmuseum. http://t.co/MH9TYP5pdn",3.0
615478205521248256,@RB_Rings @britishmuseum nice parallel!  Thanks.,3.0
613734478100492288,"Spectacular! (@ Fitzwilliam Museum - @fitzmuseum_uk in Cambridge, Cambridgeshire) https://t.co/fs3Q3cVURE",3.0
612198025096785920,@kettlesyard @steakandhonour My two favourite things!!,3.0
611856975194816512,"Indigenous Australia: enduring civilisation. So good, no words! @britishmuseum",3.0
613309194612142080,Years 3 &amp; 4 having a fantastic time at the @britishmuseum #mummies #aztec #history #education #romans http://t.co/NjKAQBARxM,3.0
613675408752529408,Great to see the The Guardian's Exhbition of the week is our Jackson Pollock show at @TateLiverpool  http://t.co/P0EjGDjY4e,3.0
614075357747146752,An exciting announcement soon :) @RAMMuseum #excited,3.0
610947723609686016,Great talk @MuseumofCamb Weds night 7pm - what @kettlesyard will look like after its redevelopment http://t.co/UQnwUjiQzH,3.0
610565880112660480,@NationalGallery @greekisinart ART=FREEDOM Visited the gallery but unable to see the impressionist paintings belonging to collection.When up,4.0
612904146337988608,Sunflowers compliments our #NorthbankInBloom perfectly! #summer @NationalGallery  https://t.co/leivOrUTqn,3.0
614389662845661184,"@Bethlem_Gallery @samcurtisart @_TheWhitechapel Ooh, fab - just down the road from work so that's at least one lunch hour sorted!",3.0
612026671206633472,@sewyoursoul Oh Whistle jacket is my daughter's favourite picture in @NationalGallery ...she has her own route around it &amp; he's last.,3.0
611847396876795904,@britishmuseum They are extremely beautiful. Thank you very much for sharing.,3.0
613650879674085376,If you haven't checked out #TARA the TRUST FOR AFRICAN ROCK ART you should! TARA have teamed up w @BritishMuseum... http://t.co/UH00tqwuMA,3.0
611645475339567104,@britishmuseum happy #waterloo day #waterloo200 http://t.co/x0T4dpKfJN,3.0
611614130697543680,"Lovely discussing art, #mentalhealth and #mindfulness with Rachel from @NationalGallery tonight @mcrartgallery. 
#MAGwellbeing #sharing",3.0
614109647981703168,the defining beauty exhibition at @britishmuseum was so overwhelmingly stunning today. it ends next week so PLEASE make it a priority + go.,3.0
614522182471782400,@LalitKModi ur the boss man! #BJP #Congress @narendramodi @britishmuseum @visitlondon @PMOIndia are all for your service. Come: @makeinindia,3.0
